,x,y,label
energy resources,11.462572,8.098273,19
flare stacks,10.319835,4.1653504,32
gas emissions,6.330124,-1.8395332,28
gas industry,12.169257,4.5055594,11
global warming,5.1340623,1.6693689,14
liquefied natural gas,11.366323,6.094359,15
liquid methane,9.317474,4.151208,46
methane,7.6344314,7.1477785,35
natural gas deposits,-2.1406696,4.846182,-1
petroleum industry,9.236531,4.773122,46
steam reforming,9.351242,6.394027,35
synthesis gas,15.358441,7.0813255,-1
synthesis gas manufacture,15.358456,7.081337,-1
compressed natural gas technologies,1.3810657,-2.3782613,6
dry reforming-of-methane,9.960376,5.0136046,46
environmental pollutions,8.941189,2.402302,43
management strategies,10.204602,7.262821,46
oil and gas production,9.478874,4.3776326,46
steam reforming of methane,9.347914,6.3961782,35
synthesis gasses (syngas),-4.1627665,7.333712,29
utilization of methane,7.5914125,7.194589,35
compressed natural gas,1.2502099,-2.5324495,6
carbon dioxide,11.828393,2.7692256,0
dynamometers,10.208573,4.239814,32
gas emissions,6.4185033,-1.844161,28
greenhouse gases,16.11552,8.096449,22
life cycle,11.17319,-2.5246837,-1
natural gas transportation,10.292284,6.930173,17
natural gas vehicles,15.032513,11.739819,25
sulfur compounds,10.112814,4.977395,46
toxicity,10.617744,6.39594,46
carbon intensity,7.450667,1.8437207,-1
chassis dynamometers,10.582112,6.4367275,-1
compressed natural gasses (cng),-6.146485,8.5694475,29
dimethyl sulfide,9.87279,4.748055,46
tailpipe emission,3.6815114,4.0875316,14
toxicological properties,10.925091,6.053839,46
transportation fuels,10.618175,3.2483268,-1
vehicle exhausts,8.292358,7.3093066,-1
compressed natural gas,1.3161724,-2.4602516,6
benzene,9.763906,4.790933,46
biogas,1.7013268,9.238291,-1
cyclooxygenase 2,10.310119,4.1092467,32
cytochrome p450 1a1,10.198939,4.0046597,32
dibenzofuran,10.359888,4.0016685,32
dimethyl sulfide,9.889206,4.782796,46
formaldehyde,10.972248,6.817028,-1
interleukin 8,10.461649,4.1020412,32
ketene derivative,9.900215,4.8594756,46
natural gas,18.514795,12.662788,7
propylene,9.830702,4.980016,46
reactive oxygen metabolite,9.9157715,7.0735865,-1
renewable fuel,9.688424,5.3917484,46
toxic substance,9.45361,6.072592,46
volatile organic compound,10.379882,4.557091,46
biofuel,1.6218184,4.5092125,12
gasoline,8.928861,5.6177454,4
methane,7.5727973,7.216576,35
alternative fuel,16.159107,5.301195,-1
chemical property,10.408735,5.7869897,46
emission,9.076761,3.563469,43
natural gas,18.510225,12.596336,7
toxicity,10.616593,6.395018,46
ames test,10.512983,6.363631,46
article,-1.4443318,17.85769,-1
carbon footprint,11.380241,0.9053101,-1
chemical composition,10.516896,5.6854777,46
controlled study,11.567637,7.6756587,46
economic aspect,9.448909,7.141452,46
exhaust gas,9.214571,3.8556764,-1
greenhouse gas,9.7466135,6.098297,10
motor vehicle,12.757101,5.4736204,-1
mutagenicity,10.367102,4.157262,32
particulate matter,6.59037,6.6274786,-1
photochemistry,3.3831372,5.152841,-1
toxicology,10.6506815,6.5955696,46
traffic and transport,8.515852,6.841612,46
air pollutant,5.9794044,6.4703937,-1
analysis,10.651363,7.7304945,46
exhaust gas,9.211331,3.8588827,-1
toxicity,10.61671,6.3957095,46
air pollutants,5.984926,6.466094,-1
biofuels,1.6215515,4.5090857,12
gasoline,8.965589,5.5776515,4
methane,7.638815,7.149964,35
natural gas,18.558838,12.591253,7
vehicle emissions,8.062954,7.3111377,-1
adsorption,12.223153,3.4649434,-1
air cleaners,10.274084,6.2162743,34
biogas,1.6968682,9.234318,-1
compressed natural gas,1.5063684,-2.5810983,6
design,9.806271,7.980878,46
methane,7.6161904,7.1703706,35
mixtures,11.966474,5.5204716,-1
water absorption,10.34881,4.0789466,46
evaluation parameters,10.553495,6.862177,46
experimental examination,10.806464,6.995584,46
hydrogen enrichment,8.716417,4.4493647,18
low energy penalties,10.288303,5.535724,46
physical and chemical absorptions,10.548477,5.491977,46
pressure swing adsorption,10.056023,4.9065266,46
process fundamentals,10.258901,6.698827,46
purification process,9.9958105,5.0626245,46
process design,9.919102,7.620388,46
compressed natural gas,1.3496206,-2.5353534,6
economic analysis,10.585585,8.842854,46
equations of state,11.367933,6.7087107,46
genetic algorithms,12.025375,8.83873,46
scheduling,9.857233,6.947955,46
switching frequency,10.508758,6.211907,46
compressed natural gasses (cng),-6.106309,8.520981,29
economic dispatch,9.377585,7.040641,46
economic operations,9.353025,7.0560846,46
gas state equations,11.37578,6.670419,46
operating pressure,9.704633,4.7899523,46
production capacity,10.02448,6.475637,46
retention strategies,10.41588,7.190627,46
time-of-use electricity price,10.517067,6.0347347,46
electric load dispatching,10.969956,4.8949513,46
dual fuel engines,3.820499,-2.4674091,-1
energy storage,7.336923,-0.557267,26
fossil fuels,8.259158,3.7798321,2
gas adsorption,11.8195915,3.1892939,-1
gases,7.7718487,-2.8800478,1
heat pipes,10.085133,3.3779628,46
liquefied natural gas,11.424703,6.122847,15
